Date,Max,Min,Average
3/6/21,69,41,55
3/5/21,81,51,66
3/4/21,77,39,58
2/24/21,83,64,73.5
1/16/21,64,38,51
1/15/21,61,38,49.5
1/11/21,50,28,39
1/6/21,72,51,61.5
12/27/20,78,36,57
12/26/20,71,28,49.5
12/20/20,70,35,52.5
12/19/20,69,38,53.5
12/15/20,62,31,46.5
12/13/20,70,43,56.5
12/12/20,63,45,54
12/11/20,77,48,62.5
12/10/20,80,43,61.5
12/9/20,83,42,62.5
12/8/20,79,36,57.5
12/7/20,71,35,53
12/6/20,68,32,50
12/3/20,59,37,48
12/2/20,67,38,52.5
12/1/20,65,22,43.5
11/30/20,58,30,44
11/29/20,60,48,54
11/24/20,85,61,73
11/23/20,68,52,60
11/22/20,83,58,70.5
11/21/20,81,56,68.5
11/19/20,83,48,65.5
11/17/20,77,34,55.5
11/15/20,74,39,56.5
11/9/20,86,59,72.5
10/29/20,64,40,52
10/17/20,82,57,69.5
10/16/20,77,50,63.5
10/5/20,87,60,73.5
9/29/20,83,49,66
9/24/20,80,59,69.5
9/22/20,75,69,72
9/21/20,73,68,70.5
9/20/20,86,61,73.5
9/18/20,88,70,79
9/17/20,86,71,78.5
9/11/20,85,64,74.5
9/5/20,91,73,82
9/4/20,83,72,77.5
9/3/20,94,76,85
9/1/20,101,82,91.5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
